"","pays_expat","nb_assure","autres_protheses.csv","auxiliaires_medicaux.csv","bilan_de_sante.csv","chambre_particuliere.csv","consultation.csv","cures_thermales.csv","divers.csv","fiv.csv","hospitalisation_sauf_chambre_particuliere.csv","implants_dentaires.csv","keratotomie.csv","lentilles.csv","maternite_sauf_fiv.csv","medecine_alternative.csv","montures.csv","orthodontie.csv","paradontologie.csv","petit_risque.csv","pharmacie.csv","prothese_dentaire.csv","psychiatrie.csv","soins_dentaires.csv","vaccination.csv","verres.csv","X","autres_protheses","auxiliaires_medicaux","bilan_de_sante","chambre_particuliere","consultation","cures_thermales","divers","fiv","hospitalisation_sauf_chambre_particuliere","implants_dentaires","keratotomie","lentilles","maternite_sauf_fiv","medecine_alternative","montures","orthodontie","paradontologie","petit_risque","pharmacie","prothese_dentaire","psychiatrie","soins_dentaires","vaccination","verres","sum"
"141","NORTH KOREA",54,0,4,0,0,33,0,1,0,40,0,0,10,0,0,3,0,0,16,26,1,0,111,4,2,141,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,12
"142","NORWAY",9529,194,2616,562,97,8428,0,37,0,1715,18,48,621,1767,1044,1244,225,4,3768,6838,390,245,5244,776,67,142,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"143","OMAN",9094,195,3309,621,426,12396,0,72,0,2276,6,50,668,3395,413,1126,142,0,5815,85520,512,244,3911,1356,26,143,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"144","PAKISTAN",3451,84,1316,180,216,3641,0,3,0,892,5,8,82,608,46,235,54,0,1781,4435,206,57,870,322,54,144,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"145","PALESTINIAN TERRIT.",53,0,7,0,0,14,0,0,0,1,0,0,3,0,5,1,0,0,10,17,5,0,12,1,2,145,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,12
"146","PANAMA",526,79,352,23,4,1824,0,1,0,250,3,0,64,123,21,42,61,0,1122,2204,52,170,558,105,20,146,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"147","PAPUA NEW GUINEA",142,7,1,2,0,34,0,0,0,6,0,0,3,0,10,8,0,0,17,16,4,0,30,4,4,147,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,10
"148","PARAGUAY",55,0,46,0,0,146,0,0,0,6,0,0,0,0,0,10,0,0,165,298,6,2,49,0,20,148,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,14
"149","PERU",2445,219,1727,97,0,4447,0,0,0,991,4,13,197,730,150,280,124,0,5908,5530,222,480,1476,441,11,149,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
"150","PHILIPPINES",5814,69,844,310,408,5645,0,102,2,2090,7,6,235,565,144,447,202,0,3498,8983,656,18,1999,1321,45,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"151","PITCAIRN ISLANDS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"152","POLAND",7272,331,3114,140,249,12936,0,9,31,2401,46,6,363,741,321,1005,657,2,6719,11863,467,236,5025,1178,470,152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"153","PORTUGAL",2926,290,2322,38,58,5540,1,1,25,990,60,10,286,148,323,376,194,1,3465,5531,287,511,2205,294,402,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","PUERTO RICO",24,0,5,1,0,76,0,0,0,4,0,0,0,0,3,1,0,0,29,90,7,1,15,6,0,154,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,12
"155","QATAR",12358,452,3168,721,706,20949,1,74,101,4030,22,46,1310,4621,531,1899,353,1,11526,22541,1125,633,7257,2344,543,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","REUNION",184,19,517,0,6,436,0,0,0,30,0,0,10,0,17,12,7,0,230,748,17,17,127,2,15,156,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8
"157","ROMANIA",6417,222,1791,270,164,9014,0,9,11,1495,34,13,282,1330,396,708,307,4,5786,9177,654,235,3208,908,248,157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"158","RUSSIA",18443,1489,8061,1022,649,30845,4,169,100,8714,166,88,907,3252,1161,2237,921,19,22786,553420,1691,1320,12216,2636,1333,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","RWANDA",86,3,37,1,2,30,0,0,0,5,0,0,0,0,0,0,0,0,43,37,4,0,4,2,0,159,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,13
"160","SAINT LUCIA",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"161","SAMOA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"162","SAO TOME & PRINC.",43,0,0,0,0,44,0,0,0,1,0,0,0,0,2,20,0,0,13,26,0,0,1,1,0,162,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,16
"163","SAUDI ARABIA",24698,1010,5677,1542,1005,37601,5,181,26,8872,34,101,2092,7702,556,3770,746,1,20997,43167,1927,786,12137,5058,350,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","SENEGAL",3990,351,2562,47,88,7444,8,6,0,916,17,4,152,113,153,385,92,5,5246,6953,456,236,1886,342,619,164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"165","SERBIA",611,104,634,4,26,830,0,0,0,187,0,6,40,17,15,47,19,2,699,831,62,11,261,42,55,165,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"166","SERBIA MONTENEGRO",2,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,166,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,19
"167","SEYCHELLES",67,0,8,0,3,53,0,0,0,10,0,0,2,0,1,2,0,0,48,57,0,0,42,1,6,167,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,12
"168","SIERRA LEONE",58,2,14,1,0,72,0,5,0,105,1,0,0,0,3,3,0,0,93,26,0,0,10,1,8,168,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,10
"169","SINGAPORE",20545,1287,11717,919,613,64331,21,241,486,7191,135,94,3027,4224,3315,2932,1958,1,29506,47886,1403,1862,17762,4260,1007,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","SLOVAKIA",903,64,853,8,30,1912,0,1,8,282,5,0,35,154,40,136,65,1,861,1073,42,96,581,125,105,170,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"171","SLOVENIA",31,0,0,0,0,19,0,0,0,5,0,0,6,0,0,3,0,0,14,14,13,0,41,2,0,171,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,15
"172","SOLOMON ISLANDS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"173","SOMALIA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"174","SOUTH AFRICA",6667,588,4503,337,185,12168,1,159,9,3350,121,21,438,870,795,702,704,2,7416,26815,587,1146,5737,927,355,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","SOUTH KOREA",3713,850,1200,85,65,7679,0,27,19,1001,31,4,289,210,228,347,196,1,73947,5814,304,62,1746,371,249,175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"176","SOUTH SUDAN",16,0,0,2,0,2,0,0,0,0,0,0,4,0,0,5,0,0,3,3,1,0,8,0,0,176,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,16
"177","SPAIN",11659,645,10843,177,327,23754,2,244,140,4664,136,27,762,783,1226,1481,1686,39,12544,20152,1070,1709,6682,992,1268,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","SRI LANKA",291,3,22,12,18,451,0,0,0,100,0,0,34,18,7,30,0,0,237,385,8,22,70,70,8,178,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7
"179","ST VINCENT & GREN.",2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
"180","SUDAN",2462,53,371,163,75,3108,1,48,0,608,9,2,125,439,114,419,99,0,1489,3007,107,84,877,305,40,180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"181","SURINAME",53,0,4,4,4,10,0,0,0,5,0,0,12,0,0,7,0,0,12,11,8,0,32,5,0,181,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,12
"182","SWAZILAND",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"183","SWEDEN",1404,51,235,9,11,1063,0,1,4,100,1,5,73,11,92,139,72,0,613,986,94,69,649,103,99,183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
